UF;MUNICIPIO;PROJETO;INSTRUMENTO;SIGLA_ACAO;ACAO;EMENDA_PARLAMENTAR;AUTOR_PARLAMENTAR;NU_ANO_VIGENCIA;DATA_ASSINATURA_CONVENIO;DATA_INICIO_CONVENIO;DATA_TERMINO_CONVENIO;VIGENTE;SITUACAO_OBRA;PARC_PAGAS;PARC_A_PAGAR;DT_ULTIMO_PAGAMENTO;VL_TOTAL_EMPENHADO;VL_SALDO_EMPENHO;VALOR_TOTAL_PROJETO;VL_PG_PARCELA_0;VL_PG_PARCELA_1;VL_PG_PARCELA_2;VL_PG_PARCELA_3;VL_PG_PARCELA_4
AC;ACRELÂNDIA;AC0304180420;CV 0409/18;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;CESAR MESSIAS;2018;31/05/2018;01/06/2018;01/06/2022;SIM;Não iniciada - Licitação não concluída;0;3;;250000;250000;194221.86;0;0;0;0;0
AC;ACRELÂNDIA;AC2205170400;CV 0035/17;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;CESAR MESSIAS;2017;30/12/2017;30/12/2017;30/09/2022;SIM;Em execução;3;0;26/10/2021;250000;83004.05;167196.35;0;33399.19;83497.97;50098.79;0
AC;ACRELÂNDIA;AC2205170371;CV 0036/17;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;ROCHA;2017;30/12/2017;30/12/2017;30/09/2022;SIM;Em execução;3;0;16/02/2022;300000;110302.06;190075.57;0;37939.58;94848.97;56909.39;0
AC;ACRELÂNDIA;AC2012193184;CV 0829/19;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;SERGIO PETECAO;2019;31/12/2019;31/12/2019;31/12/2022;SIM;Não iniciada - Licitação não concluída;0;3;;500000;500000;480908.83;0;0;0;0;0
AC;ASSIS BRASIL;AC1207171690;CV 1701/17;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;NÃO;;2017;29/12/2017;29/12/2017;31/12/2022;SIM;Em execução;2;1;20/08/2021;489412.06;389412.06;489412.06;0;97882.41;244706.03;0;0
AC;BRASILÉIA;AC1009101643;CV 0344/10;PMSB;PLANOS MUNICIPAIS DE SANEAMENTO BÁSICO;NÃO;;2010;30/12/2010;30/12/2010;31/12/2020;NÃO;Em execução;2;0;10/01/2018;200000;0;204100;0;100000;100000;0;0
AC;BRASILÉIA;AC2211166184;CV 0207/16;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;FLAVIANO MELO;2016;30/12/2016;30/12/2016;31/12/2022;SIM;Não iniciada - Licitação não concluída;0;2;;307998;307998;300414.15;0;0;0;0;0
AC;BRASILÉIA;AC1908150210;CV 0034/15;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;FLAVIANO MELO;2015;31/12/2015;31/12/2015;31/12/2022;SIM;Em execução;2;0;16/02/2022;500000;146152.51;354272.11;0;176923.74;176923.75;0;0
AC;BRASILÉIA;AC1708150144;CV 0011/15;MSD - Rurais;MELHORIAS SANITÁRIAS DOMICILIARES EM ÁREAS RURAIS - MSD;SIM;SERGIO PETECAO;2015;31/12/2015;31/12/2015;31/12/2021;NÃO;Em execução;2;0;08/06/2021;400000;0;299120.68;0;149373.63;149373.63;0;0
AC;BUJARI;AC0808174226;CV 0228/17;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;ANGELIM;2017;29/12/2017;29/12/2017;29/09/2023;SIM;NÃO INICIADA;0;3;;250000;250000;239107.68;0;0;0;0;0
AC;BUJARI;AC2909150289;CV 0016/15;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;RELATOR GERAL;2015;31/12/2015;31/12/2015;30/09/2023;SIM;Não iniciada - Licitação não concluída;0;2;;460000;460000;452575.86;0;0;0;0;0
AC;BUJARI;AC2812166529;CV 0563/16;MSD - Rurais;MELHORIAS SANITÁRIAS DOMICILIARES EM ÁREAS RURAIS - MSD;SIM;COMISSAO DE ASSUNTOS SOCIAIS - CAS;2016;30/12/2016;30/12/2016;31/03/2023;SIM;Não iniciada - Licitação não concluída;0;2;;250000;250000;231838.41;0;0;0;0;0
AC;BUJARI;AC2205170359;CV 0028/17;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;ROCHA;2017;29/12/2017;29/12/2017;29/09/2023;SIM;Não iniciada - Licitação não concluída;0;3;;250000;250000;237329.54;0;0;0;0;0
AC;BUJARI;AC1808150156;CV 0015/15;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;SERGIO PETECAO;2015;31/12/2015;31/12/2015;30/09/2023;SIM;Não iniciada - Licitação não concluída;0;2;;300000;300000;297789.3;0;0;0;0;0
AC;CAPIXABA;AC0305162407;CV 0018/16;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;SERGIO PETECAO;2016;30/12/2016;30/12/2016;30/10/2021;NÃO;Em execução;2;0;22/12/2020;250000;0;235465.86;0;117591.82;117591.82;0;0
AC;CAPIXABA;AC2205170399;CV 0026/17;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;CESAR MESSIAS;2017;30/12/2017;30/12/2017;30/12/2022;SIM;Em execução;3;0;16/02/2022;250000;2644.53;247652.31;0;49471.09;123677.73;74206.65;0
AC;CAPIXABA;AC2205170369;CV 0033/17;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;ROCHA;2017;29/12/2017;29/12/2017;31/12/2022;SIM;Em execução;3;0;16/02/2022;300000;23528.74;276839.88;0;55294.25;138235.63;82941.38;0
AC;CRUZEIRO DO SUL;AC1503190042;CV 0042/19;Água;SISTEMA DE ABASTECIMENTO DE ÁGUA EM ÁREAS RURAIS;SIM;ROCHA;2019;31/12/2019;31/12/2019;31/12/2022;SIM;Não iniciada - Licitação não concluída;0;3;;400000;400000;399071.27;0;0;0;0;0
AC;EPITACIOLÂNDIA;AC0305162406;CV 0016/16;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;SERGIO PETECAO;2016;30/12/2016;30/12/2016;31/03/2023;SIM;Não iniciada - Licitação concluída;0;2;;300000;300000;191728.56;0;0;0;0;0
AC;EPITACIOLÂNDIA;AC2511152258;CV 0184/15;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;FLAVIANO MELO;2015;31/12/2015;31/12/2015;30/09/2021;NÃO;Em execução;2;0;19/11/2020;340000;0;237474.53;0;169388.06;67737.77;0;0
AC;EPITACIOLÂNDIA;AC2205170401;CV 0039/17;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;CESAR MESSIAS;2017;30/12/2017;30/12/2017;30/09/2022;SIM;Não iniciada - Licitação concluída;0;3;;250000;250000;193261.74;0;0;0;0;0
AC;FEIJÓ;AC0304180429;CV 0418/18;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;ROCHA;2018;31/05/2018;01/06/2018;01/06/2022;SIM;Não iniciada - Licitação não concluída;0;3;;300000;300000;300400;0;0;0;0;0
AC;FEIJÓ;AC0304180436;CV 0425/18;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;CESAR MESSIAS;2018;31/05/2018;01/06/2018;01/06/2022;SIM;Não iniciada - Licitação não concluída;0;3;;300000;300000;300400;0;0;0;0;0
AC;FEIJÓ;AC0304180458;CV 0447/18;MSD - Rurais;MELHORIAS SANITÁRIAS DOMICILIARES EM ÁREAS RURAIS - MSD;SIM;CESAR MESSIAS;2018;31/05/2018;01/06/2018;01/06/2022;SIM;Não iniciada - Licitação não concluída;0;3;;300000;300000;300400;0;0;0;0;0
AC;FEIJÓ;AC2205170370;CV 0032/17;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;ROCHA;2017;30/12/2017;30/12/2017;;NÃO;Não iniciada - Licitação não concluída;0;2;;;;300400;0;0;0;0;0
AC;FEIJÓ;AC2205170471;CV 0025/17;MSD;MELHORIAS SANITÁRIAS DOMICILIARES - MSD;SIM;JESSICA SALES;2017;29/12/2017;29/12/2017;31/12/2022;SIM;Não iniciada - Licitação não concluída;0;3;;300000;300000;300400;0;0;0;0;0
AC;FEIJÓ;AC3011178811;CV 3626/17;Ed. Saúde Ambiental;PROJETO DE EDUCAÇÃO EM SAÚDE AMBIENTAL;NÃO;;2017;31/12/2017;31/12/2017;;NÃO;Não iniciada - Licitação não concluída;0;1;;;;180000;0;0;0;0;0
