CODIGO_IBGE_UF;UF;COD_IBGE_MUN;MUNICIPIO;ACAO;SIGLA_ACAO;CODIGO_PLANO_TRABALHO;NUMERO_INSTRUMENTO;NUMERO_PROPOSTA_SICONV;NUMERO_CONVENIO_SICONV;EMENDA_PARLAMENTAR;AUTOR_PARLAMENTAR; VALOR_EMPREENDIMENTO ; VALOR_CONTRAPARTIDA ;DATA_ASSINATURA_CONVENIO;ANO;DATA_ASSINATURA_CONVENIO;DATA_INICIO_VIGENCIA;DATA_TERMINO_VIGENCIA;VIGENTE;SITUACAO_DA_OBRA;PERCENTUAL_DA_OBRA; VALOR_PAGO ;PARCELAS_PAGAS;PARCELAS_A_PAGAR;DT_ULTIMO_PAGAMENTO; VALOR_TOTAL_EMPENHO ; VALOR_SALDO_EMPENHO ; VALOR_TOTAL_PROJETO ; VALOR_PAGO_PARCELA_0 ; VALOR_PAGO_PARCELA_1 ; VALOR_PAGO_PARCELA_2 ; VALOR_PAGO_PARCELA_3 ; VALOR_PAGO_PARCELA_4 ; VALOR_PAGO_PARCELA_5 ;DIAS_VIGÊNCIA;POPULAÇÃO;FIRJAN
33;RJ;3301108;CANTAGALO;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;RJ0504138062;TC/PAC 0495/14;;;NÃO;;15.251.834,69;258.616,72;07/05/2014;2014;07/05/2014;07/05/2014;27/10/2018;NÃO;Não Executada;0;2.998.643,59;1;3;29/12/2016;2.998.643,59; -   ;15.251.834,69; -   ;2.998.643,59; -   ; -   ; -   ; -   ;1634;20168;0,59096533
29;BA;2927408;SALVADOR;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;BA1307114516;TC/PAC 0229/12;;;NÃO;;10.401.291,64;1.528.156,68;30/03/2012;2012;30/03/2012;30/03/2012;25/04/2020;NÃO;Concluída com etapa útil e sem pendência;100;8.873.134,96;4;0;31/10/2018;8.873.134,96; -   ;10.401.291,64; -   ;2.661.940,49;1.774.626,99;1.774.626,99;2.661.940,49; -   ;2948;2886698;0,940123571
43;RS;4313102;NOVA PALMA;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;RS2803135838;TC/PAC 0230/14;;;NÃO;;5.796.864,32; -   ;07/05/2014;2014;07/05/2014;07/05/2014;07/05/2023;SIM;Não iniciada - Licitação não concluída;; -   ;0;4;;289.843,22;289.843,22;5.796.864,32; -   ; -   ; -   ; -   ; -   ; -   ;3287;6515;0,575106547
41;PR;4126504;SERTANÓPOLIS;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;PR1407115242;TC/PAC 0358/11;;;NÃO;;1.117.973,07; -   ;21/12/2011;2011;21/12/2011;21/12/2011;20/05/2014;NÃO;Concluída com etapa útil e sem pendência;100;1.117.973,07;3;0;12/08/2013;1.117.973,07; -   ;1.117.973,07; -   ;447.189,23;335.391,92;335.391,92; -   ; -   ;881;16413;0,763850573
52;GO;5207535;FAINA;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;GO2603135684;TC/PAC 0335/14;;;NÃO;;4.480.173,46; -   ;07/05/2014;2014;07/05/2014;07/05/2014;06/05/2021;NÃO;Encerrada sem etapa útil;45;3.584.138,77;3;1;16/07/2019;4.480.173,46; -   ;4.480.173,46; -   ;896.034,69;1.344.052,04;1.344.052,04; -   ; -   ;2556;6576;0,480516415
23;CE;2313302;TAUÁ;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;CE2306067524;CV 0566/06;;;NÃO;;734.977,95;34.998,95;20/06/2006;2006;20/06/2006;20/06/2006;16/11/2008;NÃO;Não iniciada - Licitação não concluída;0;699.979,00;4;1;21/05/2007;699.979,00; -   ;734.977,95; -   ; -   ; -   ; -   ; -   ; -   ;880;59062;0,367620987
52;GO;5219803;SÃO DOMINGOS;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;GO0809093112;TC/PAC 0053/10;;;NÃO;;2.038.346,61;65.818,21;31/12/2010;2010;31/12/2010;31/12/2010;30/12/2018;NÃO;Encerrada sem etapa útil;26,67;789.011,36;1;2;27/06/2012;2.000.000,00; -   ;2.038.346,61; -   ;789.011,36; -   ; -   ; -   ; -   ;2921;13103;nd
50;MS;5008305;TRÊS LAGOAS;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;MS1602065728;CV 2967/05;;;SIM;BANCADA DO MATO GROSSO SUL;1.049.999,99;60.499,99;30/12/2005;2005;30/12/2005;30/12/2005;15/03/2008;NÃO;CONCLUÍDA;100;1.000.000,00;0;1;;1.000.000,00; -   ;1.049.999,99; -   ; -   ; -   ; -   ; -   ; -   ;806;123281;0,81932061
41;PR;4127908;TUNEIRAS DO OESTE;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;PR3011055953;CV 1673/05;;;NÃO;;203.100,00;6.200,00;19/12/2005;2005;19/12/2005;19/12/2005;10/10/2012;NÃO;CONCLUÍDA;100;200.000,00;2;1;28/06/2012;200.000,00; -   ;203.100,00; -   ;60.000,00;100.000,00; -   ; -   ; -   ;2487;8533;0,883021025
33;RJ;3301504;CORDEIRO;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;RJ1602066041;CV 0977/05;;;SIM;FRANCISCO DORNELLES;246.115,17;68.116,97;16/12/2005;2005;16/12/2005;16/12/2005;18/08/2011;NÃO;CANCELADA;0;144.000,00;0;1;;180.000,00; -   ;246.115,17; -   ; -   ; -   ; -   ; -   ; -   ;2071;22041;0,605657021
22;PI;2206001;MARCOS PARENTE;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;PI0305090323;TC/PAC 0340/09;;;NÃO;;2.464.827,17;164.827,17;31/12/2009;2009;31/12/2009;31/12/2009;15/01/2015;NÃO;Encerrada sem etapa útil;100;2.300.000,00;3;1;30/12/2013;2.300.000,00; -   ;2.464.827,17; -   ;920.000,00;1.380.000,00; -   ; -   ; -   ;1841;4547;nd
42;SC;4219507;XANXERÊ;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;SC0411094107;TC/PAC 0514/09;;;NÃO;;9.127.853,70;437.986,70;31/12/2009;2009;31/12/2009;31/12/2009;31/12/2018;NÃO;Encerrada sem etapa útil;77,45;8.689.867,00;7;1;22/04/2013;8.689.867,00; -   ;9.127.853,70; -   ;868.986,70;6.951.893,60; -   ;868.986,70; -   ;3287;51642;0,721189658
31;MG;3166204;SENHORA DOS REMÉDIOS;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;MG0304180239;CV 0230/18;30094/2018;864454/2018;SIM;RELATOR GERAL;4.000.000,00; -   ;31/05/2018;2018;31/05/2018;01/06/2018;01/05/2024;SIM;Não iniciada - Licitação não concluída;0; -   ;0;4;;800.000,00;800.000,00;4.000.000,00; -   ; -   ; -   ; -   ; -   ; -   ;2161;10467;0,68651398
17;TO;1721000;PALMAS;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;TO0304136290;TC/PAC 0252/14;;;NÃO;;4.456.705,14;530.433,19;07/05/2014;2014;07/05/2014;07/05/2014;01/04/2023;SIM;Não iniciada - Licitação não concluída;0;785.254,39;1;3;30/10/2014;785.254,39; -   ;4.456.705,14; -   ;785.254,39; -   ; -   ; -   ; -   ;3251;306296;0,736247593
50;MS;5000609;AMAMBAI;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;MS0507043551;CV 0215/04;;;NÃO;;200.000,00;10.300,00;30/06/2004;2004;30/06/2004;30/06/2004;17/03/2007;NÃO;CONCLUÍDA;100;195.700,00;0;1;;195.700,00; -   ;200.000,00; -   ; -   ; -   ; -   ; -   ; -   ;990;39826;0,767107734
27;AL;2707800;ROTEIRO;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;AL2212170987;CV 6272/17;103027/2017;859837/2017;NÃO;;11.150.000,00;150.000,00;29/12/2017;2017;29/12/2017;29/12/2017;29/09/2020;NÃO;Em execução;99,87;11.000.000,00;5;0;28/08/2019;11.000.000,00; -   ;11.150.000,00; -   ;2.200.000,00;2.200.000,00;2.200.000,00;2.200.000,00;2.200.000,00;1005;6649;0,300962267
31;MG;3106200;BELO HORIZONTE;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;MG1507117940;TC/PAC 0319/12;;;NÃO;;3.394.745,16; -   ;31/10/2012;2012;31/10/2012;31/10/2012;30/04/2016;NÃO;Não Executada;0;942.242,40;1;3;22/11/2012;942.242,40; -   ;3.394.745,16; -   ;942.242,40; -   ; -   ; -   ; -   ;1277;2521564;0,756291321
26;PE;2600302;AGRESTINA;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;PE1307114996;TC/PAC 0281/12;;;NÃO;;9.374.045,10; -   ;28/12/2012;2012;28/12/2012;28/12/2012;10/04/2023;SIM;Em execução;58;9.374.045,10;4;0;18/02/2021;9.374.045,10; -   ;9.374.045,10; -   ;2.812.213,53;1.874.809,02;1.874.809,02;2.812.213,53; -   ;3755;25065;0,296708737
41;PR;4127304;TERRA RICA;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;PR1507118452;TC/PAC 0359/11;;;NÃO;;1.435.613,77; -   ;21/12/2011;2011;21/12/2011;21/12/2011;16/11/2014;NÃO;Concluída com etapa útil e sem pendência;100;1.400.000,40;3;0;24/05/2013;1.400.000,40; -   ;1.435.613,77; -   ;560.000,16;420.000,12;420.000,12; -   ; -   ;1061;16924;0,850422002
35;SP;3540507;PORANGABA;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;SP2008021125;CV 1257/02;;;NÃO;;96.733,66;17.134,38;17/12/2002;2002;17/12/2002;17/12/2002;16/08/2004;NÃO;CANCELADA;0; -   ;0;1;; -   ; -   ;96.733,66; -   ; -   ; -   ; -   ; -   ; -   ;608;10067;0,807397059
43;RS;4303400;CAIÇARA;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;RS2811075444;TC/PAC 0569/07;;;NÃO;;1.262.500,00;88.600,00;31/12/2007;2007;31/12/2007;31/12/2007;25/06/2024;SIM;Em execução;90;1.173.900,00;3;1;27/10/2016;1.173.900,00; -   ;1.262.500,00; -   ;469.560,00;352.170,00;352.170,00; -   ; -   ;6021;4700;0,517841103
32;ES;3203353;MARILÂNDIA;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;ES1709108705;CV 0098/10;24848/2010;749042/2010;NÃO;;221.738,64;5.001,10;30/12/2010;2010;30/12/2010;30/12/2010;12/07/2022;SIM;Em execução;85;200.000,00;2;0;07/07/2020;200.000,00; -   ;221.738,64; -   ;100.000,00;100.000,00; -   ; -   ; -   ;4212;12963;0,72100285
24;RN;2400307;AFONSO BEZERRA;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;RN1807069628;CV 1281/06;;;NÃO;;309.000,00;9.500,00;28/06/2006;2006;28/06/2006;28/06/2006;08/05/2009;NÃO;Concluída com etapa útil e sem pendência;99,39;299.500,00;3;1;08/05/2008;300.000,00; -   ;309.000,00; -   ; -   ; -   ; -   ; -   ; -   ;1045;11029;nd
29;BA;2924652;PINTADAS;SISTEMA DE ESGOTAMENTO SANITÁRIO;Esgoto;BA0304180325;CV 0314/18;25251/2018;864499/2018;SIM;RELATOR GERAL;2.956.519,03; -   ;31/05/2018;2018;31/05/2018;01/06/2018;04/05/2023;SIM;Em execução;77,43;2.956.519,03;6;0;22/03/2022;2.956.519,03; -   ;2.956.519,03;150.000,00;443.803,81;591.303,81;1.180.107,60;591.303,81; -   ;1798;10394;0,429449585
